ablation,sequence,quant_step,n_frames,mean_bpp,mean_y_psnr_db,mean_y_ssim,mean_rgb_psnr_db
metalearner_no_llm,Beauty,8.0,3,3.3424479166666665,42.94705280052918,0.9542475248108689,40.00538700999886
full,Beauty,8.0,3,2.6438802083333335,42.94705280052918,0.9542475248108689,40.00538700999886
full,Beauty,8.0,3,2.6067708333333335,42.94705280052918,0.9542475248108689,40.00538700999886
full,Beauty,8.0,30,4.356886574074074,43.06028108674738,0.9893606404018817,39.924560754434616
full,HoneyBee,8.0,2,3.12786865234375,43.36297069179947,0.9713043286325718,40.04107348134642
dct,Beauty,8.0,2,7.0205078125,42.78839491736499,0.961275806520292,39.84557283035612
dct,HoneyBee,8.0,2,7.1031494140625,43.582906157738634,0.9718770280289499,40.33110396871659
full,Beauty,8.0,2,2.83917236328125,42.74863783340159,0.9610744236824666,39.80942635483455
full,HoneyBee,8.0,30,2.437957,43.458,0.971183,40.359667
